createDate,taskName,mode,weaponName,map,version,score,KPS,SPK,accTotal,timePerKill,killTotal,shotsTotal,missUp,missUpLeft,missUpRight,missLeft,missRight,missDown,missDownLeft,missDownRight
8/3/2026 22:27,circleshot,10,9mm,0,v1.39.4,90166,0.5508988,4.969697,61.5853653,1782.713468,33,164,0,2,1,16,9,0,0,0
8/3/2026 1:32,circleshot,10,9mm,0,v1.39.4,79623,0.500807345,4.9666667,60.4026871,1969.649658,30,149,0,0,2,7,5,0,0,1
8/3/2026 0:54,circleshot,10,9mm,0,v1.39.4,74738,0.550889,6.5757575,46.08295,1746.595831,33,217,0,0,0,29,23,0,1,0
8/3/2026 0:40,circleshot,10,9mm,0,v1.39.4,102641,397.2059658,365.4337276,457.3540243,446.9032088,437.9707336,427.2694244,343.156189,469.1719421,1459.71537,56.542057,40,214,0.6677373,41
4/8/2025 5:22,circleshot,10,9mm,0,v1.39.4,91967,349.9480563,282.9139879,344.651215,318.7339492,382.0752167,302.2368031,360.6602417,397.4967092,1522.065286,50,39,234,0.6510634,40
1/4/2025 22:19,circleshot,10,9mm,0,v1.39.4,73848,751.3206278,783.5938507,879.9564684,753.5932083,916.5843578,810.5777588,914.7795654,884.6076993,2047.81443,56.4935074,29,154,0.484128118,30
11/25/2022 23:51,circleshot,10,9mm,0,v1.39.4,74951,751.3878581,749.1460673,822.8948181,701.3596598,896.0737305,850.9014435,888.3219537,886.291851,1880.840399,50.5319176,31,188,0.5174994,32
9/10/2022 23:47,circleshot,10,9mm,0,v1.39.4,101805,779.2581036,665.1989523,726.7810669,754.6253433,830.4178975,926.7113525,938.0807251,858.1885274,1633.000414,67.08075,36,161,0.600978553,37
9/7/2022 19:35,circleshot,10,9mm,0,v1.39.4,77313,798.6775594,761.1769714,716.4992426,731.5026672,985.1443481,948.4996643,853.6334432,975.9126129,1747.138078,47.22222,34,216,0.5676052,35
8/20/2022 22:37,circleshot,10,9mm,0,v1.39.4,65097,792.6182617,716.1920776,714.8374338,687.2972586,913.7687256,968.9204559,796.8103943,901.4613592,2053.824063,46.2765961,29,188,0.484130263,30
