createDate,taskName,mode,weaponName,map,version,score,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,accTotal,killTotal,shotsTotal,killsPerSec,targetsTotal
01/04/2025 22:10:21,circletrack,10,9mm,0,v1.39.4,62152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2892.55178833008,46.35291,20,0,0.3338651,21,
01/04/2025 22:09:08,circletrack,10,9mm,0,v1.39.4,54343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3137.16379908511,42.6274223,19,0,0.3171732,20,
11/25/2022 23:45:49,circletrack,10,9mm,0,v1.39.4,52506,338.084803771973,356.787649831464,356.420680454799,344.252180660472,311.897578648158,353.797339699485,613.134292602539,276.569377354213,0,0,0,0,0,0,0,0,3174.76693386502,41.8508034,18,0,0.300464749,19,
11/24/2022 02:03:45,circletrack,10,9mm,0,v1.39.4,59114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2984.35307617187,44.8702965,20,0,0.333862454,21,
09/10/2022 23:41:54,circletrack,10,9mm,0,v1.39.4,54590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3065.98990671258,42.7606659,19,0,0.317171,20,
09/07/2022 19:30:11,circletrack,10,9mm,0,v1.39.4,64635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2807.64599609375,47.42141,21,0,0.35055992,22,
08/20/2022 22:25:51,circletrack,10,9mm,0,v1.39.4,45573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3450.42951516544,38.3005524,17,0,0.2837845,18,
08/20/2022 22:24:44,circletrack,10,9mm,0,v1.39.4,52276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3234.28232828776,41.73289,18,0,0.300481051,19,
08/13/2022 21:06:05,circletrack,10,9mm,0,v1.39.4,54346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3093.0833932977,42.6264229,19,0,0.317165732,20,
08/13/2022 21:04:59,circletrack,10,9mm,0,v1.39.4,54420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3111.91503263775,42.67905,19,0,0.317159921,20,
07/02/2022 19:29:44,circletrack,10,9mm,0,v1.39.4,59114,340.944194627845,317.056439717611,336.174109458923,358.013217926026,300.506912231445,387.823618570964,260.86626180013,283.060679117839,0,0,0,0,0,0,0,0,334.496878487723,44.8687477,20,0,0,21,
07/02/2022 19:22:39,circletrack,10,9mm,0,v1.39.4,55152,386.592683231129,332.524109734429,415.578988817003,363.585554122925,380.489501953125,488.854044596354,241.489054361979,274.686157226563,0,0,0,0,0,0,0,0,3402.39408365885,43.0636826,19,0,0,20,
07/02/2022 19:21:29,circletrack,10,9mm,0,v1.39.4,40048,386.592683231129,332.524109734429,415.578988817003,363.585554122925,380.489501953125,488.854044596354,241.489054361979,274.686157226563,0,0,0,0,0,0,0,0,3470.80984219638,35.50516,15,0,0,16,
