createDate,taskName,mode,weaponName,map,version,score,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,accTotal,killTotal,shotsTotal,killsPerSec,targetsTotal
10/27/2023 02:56:35,connorballgridshot,10,9mm,4,v1.39.4,54083,344.400817422306,334.723479788644,369.507493392281,358.249309260671,304.098205566406,250.357681274414,283.121307373047,275.127156575521,92,97,88,89,100,100,100,100,347.504623322797,91.8478241,169,184,2.82096171,172,
12/21/2022 03:05:27,connorballgridshot,10,9mm,4,v1.39.4,58272,326.897025912416,320.796874473835,327.429539707729,305.749922732089,464.350016276042,271.726316452026,505.578674316406,262.493690490723,88,88,92,89,75,100,62,100,323.16447115205,88.4058,183,207,3.05480242,186,
12/21/2022 03:04:18,connorballgridshot,10,9mm,4,v1.39.4,57830,350.147340063955,327.611783854167,316.016678257992,319.580251181998,280.717292785645,262.535814557757,429.568908691406,320.525052388509,86,88,93,93,100,100,67,100,326.29450946384,90.45226,180,199,3.004792,183,
12/21/2022 03:03:07,connorballgridshot,10,9mm,4,v1.39.4,60199,317.154042798419,316.497847630427,325.191143329327,317.159733097728,305.087758382161,276.010559082031,330.030934651693,411.202766418457,93,90,93,89,100,100,100,67,318.337067634828,91.17647,186,204,3.1049,189,
12/21/2022 03:01:59,connorballgridshot,10,9mm,4,v1.39.4,57659,349.246618717275,303.870633247571,334.005283610026,319.761718425345,262.782306671143,432.87981262207,266.335412161691,324.814529418945,85,93,88,87,100,71,100,67,325.251768007383,87.92271,182,207,3.03815722,185,
12/21/2022 03:00:53,connorballgridshot,10,9mm,4,v1.39.4,55559,340.602541873329,315.925517546825,341.705949020386,338.673222592002,337.316096714565,551.709732055664,288.203234863281,366.702827453613,86,91,87,86,100,67,100,86,335.093936226585,88,176,200,2.93804073,179,
12/21/2022 02:59:33,connorballgridshot,10,9mm,4,v1.39.4,49743,348.968112763904,403.039665754451,362.141516208649,364.927737896259,336.436386108398,260.976043701172,0,0,91,81,91,85,100,100,0,0,367.433887647546,87.02702,161,185,2.687628,164,
12/19/2022 00:06:46,connorballgridshot,10,9mm,4,v1.39.4,55400,340.071840558733,327.417408943176,336.023226928711,331.894415482231,359.296234130859,375.750893729074,439.859252929688,253.104228973389,89,86,88,88,83,88,67,100,336.24624486403,87.5621948,176,201,2.9379847,179,
12/19/2022 00:05:30,connorballgridshot,10,9mm,4,v1.39.4,59979,351.449974060059,306.133097598427,307.377076067243,319.02412294874,288.310163709852,367.377449035645,254.808799743652,271.910430908203,83,95,92,91,100,75,100,100,318.322405374178,90.29126,186,206,3.10482121,189,
12/19/2022 00:04:17,connorballgridshot,10,9mm,4,v1.39.4,53666,369.578513051949,318.879064058003,322.980719502767,300.91224983411,303.88628133138,412.221903483073,357.819006347656,434.503534952799,77,84,86,91,100,67,62,60,335.609129645608,81.860466,176,215,2.93803453,179,
12/19/2022 00:03:01,connorballgridshot,10,9mm,4,v1.39.4,51288,367.601792555589,309.958151096251,379.607582493832,315.594401041667,359.677847290039,0,388.60173034668,619.792297363281,80,85,78,88,83,0,67,50,347.912133789062,81.3397141,170,209,2.83782315,173,
12/19/2022 00:01:45,connorballgridshot,10,9mm,4,v1.39.4,51613,301.521768268786,335.187812218299,412.041299068567,348.562533867069,422.550364176432,418.866021728516,297.978225708008,240.652954101563,88,87,75,80,75,71,100,100,348.22485073314,82.52427,170,206,2.83782077,173,
12/18/2022 23:59:35,connorballgridshot,10,9mm,4,v1.39.4,55422,309.139666408963,320.019145741182,326.73183026995,379.478743030179,455.188364028931,290.625556945801,427.610996246338,301.169115506686,96,87,88,78,67,86,80,93,333.909790297686,86.34146,177,205,2.95465732,180,
12/18/2022 23:58:25,connorballgridshot,10,9mm,4,v1.39.4,56809,313.173861016168,327.86986134847,344.397095870972,322.555098639594,252.885641915458,237.534503173828,268.374145507813,439.24274930087,88,91,80,88,100,100,100,69,326.53226213824,86.1904755,181,210,3.02143645,184,
12/18/2022 23:57:08,connorballgridshot,10,9mm,4,v1.39.4,48521,347.804158165341,396.634804358849,343.039441495328,373.950226946575,314.320449829102,0,0,541.145751953125,86,76,84,77,100,0,0,50,363.840528242427,80.69307,163,202,2.72104287,166,
12/18/2022 23:56:02,connorballgridshot,10,9mm,4,v1.39.4,54603,310.425411845362,356.685193036054,370.389333776526,301.397241540857,326.028010050456,377.075594584147,237.316024780273,372.915744781494,86,79,84,92,100,75,100,80,335.533869656649,85.0241547,176,207,2.938058,179,
12/18/2022 23:54:56,connorballgridshot,10,9mm,4,v1.39.4,57495,333.338312988281,286.829838822528,361.898542785645,292.886184692383,371.699824015299,297.168567657471,315.10826365153,376.522950914171,86,91,77,88,75,80,100,69,321.363469497017,84.7926254,184,217,3.071539,187,
12/18/2022 23:53:37,connorballgridshot,10,9mm,4,v1.39.4,52197,338.358403778076,323.678530375163,334.002137836657,354.739178975423,437.824851989746,247.137387084961,630.374964396159,410.605907440186,89,88,86,82,67,100,55,67,348.157544618494,83.74384,170,203,2.83786917,173,
12/18/2022 23:51:15,connorballgridshot,10,9mm,4,v1.39.4,51055,342.291231108875,355.563216816295,372.056676424467,353.538650512695,430.789145333426,273.011831665039,327.206479753767,343.039501190186,85,81,84,80,70,100,88,80,352.606053125291,82.75862,168,203,2.8044014,171,
12/18/2022 23:49:50,connorballgridshot,10,9mm,4,v1.39.4,54848,315.444932267473,330.905679803146,361.802632099873,329.675493367513,378.129837036133,442.378428141276,519.290878295898,303.818049112956,92,88,82,87,86,75,67,100,337.26272731236,87.0646744,175,201,2.92122674,178,
12/18/2022 23:47:10,connorballgridshot,10,9mm,4,v1.39.4,47511,417.465596199036,392.471940612793,335.577267964681,309.291154803652,426.631408691406,370.697273254395,343.512430826823,411.326307024275,68,74,91,92,78,100,100,70,368.667072963715,80,160,200,2.67084336,163,
12/17/2022 23:18:11,connorballgridshot,10,9mm,4,v1.39.4,53168,376.664146872128,316.209662412986,348.190864964535,346.067982600285,326.978525797526,399.032538277762,270.488189697266,259.369984944661,79,91,86,85,90,70,100,100,343.507625136264,85.14851,172,202,2.87124872,175,
