createDate,taskName,mode,weaponName,map,version,score,KPS,SPK,accTotal,timePerKill,killTotal,shotsTotal,missUp,missUpLeft,missUpRight,missLeft,missRight,missDown,missDownLeft,missDownRight
8/3/2026 22:26,strafeshot,10,9mm,0,v1.39.4,105780,0.6343864,4.78947353,63.7362671,1521.473416,38,182,0,0,0,11,9,0,0,0
8/3/2026 22:24,strafeshot,10,9mm,0,v1.39.4,103040,0.600995,4.611111,66.26506,1592.148861,36,166,0,0,0,14,13,0,0,0
8/3/2026 1:31,strafeshot,10,9mm,0,v1.39.4,119856,0.667739451,4.05,74.07407,1485.539848,40,162,0,0,0,6,2,0,0,0
8/3/2026 0:53,strafeshot,10,9mm,0,v1.39.4,125191,0.767939448,4.93478251,61.67401,1274.896551,46,227,0,0,0,18,16,0,0,0
8/3/2026 0:39,strafeshot,10,9mm,0,v1.39.4,120572,397.2059658,365.4337276,457.3540243,446.9032088,437.9707336,427.2694244,343.156189,469.1719421,1315.990503,60.7142868,45,224,0.751212955,46
4/8/2025 5:21,strafeshot,10,9mm,0,v1.39.4,118620,349.9480563,282.9139879,344.651215,318.7339492,382.0752167,302.2368031,360.6602417,397.4967092,1323.274769,59.7345123,45,226,0.751217961,46
1/4/2025 22:18,strafeshot,10,9mm,0,v1.39.4,107406,751.3206278,783.5938507,879.9564684,753.5932083,916.5843578,810.5777588,914.7795654,884.6076993,1432.854675,58.8516769,41,209,0.684442341,42
11/25/2022 23:50,strafeshot,10,9mm,0,v1.39.4,83029,751.3878581,749.1460673,822.8948181,701.3596598,896.0737305,850.9014435,888.3219537,886.291851,1844.619499,57.0588226,32,170,0.534219563,33
9/10/2022 23:46,strafeshot,10,9mm,0,v1.39.4,99488,779.2581036,665.1989523,726.7810669,754.6253433,830.4178975,926.7113525,938.0807251,858.1885274,1786.931069,72.66187,33,139,0.550914,34
9/7/2022 19:34,strafeshot,10,9mm,0,v1.39.4,104938,798.6775594,761.1769714,716.4992426,731.5026672,985.1443481,948.4996643,853.6334432,975.9126129,1614.646115,67.4846649,36,163,0.6009725,37
8/20/2022 22:36,strafeshot,10,9mm,0,v1.39.4,93966,792.6182617,716.1920776,714.8374338,687.2972586,913.7687256,968.9204559,796.8103943,901.4613592,1747.875438,64.55696,34,158,0.5675975,35
